Date,Open,High,Low,Close,action,RSI,portfolio_value
2022-09-26 00:00:00-04:00,147.86,151.92,147.84,148.95,none,45.35928143712575,1762233.7538036325
2022-09-27 00:00:00-04:00,150.9,152.86,148.14,149.93,none,44.766708701134924,1773816.027209891
2022-09-28 00:00:00-04:00,145.86,148.83,143.1,148.04,none,44.30853719420868,1751478.7856406784
2022-09-29 00:00:00-04:00,144.34,144.95,138.99,140.76,none,33.460760062963786,1665439.040337045
2022-09-30 00:00:00-04:00,139.58,141.38,136.34,136.54,buy,20.819672131147513,1615564.3528121368
2022-10-03 00:00:00-04:00,136.55,141.35,136.03,140.73,none,34.95456974879741,1665084.4809470575
2022-10-04 00:00:00-04:00,143.28,144.46,142.52,144.34,none,38.50429509853462,1707749.7942088868
2022-10-05 00:00:00-04:00,142.33,145.6,141.29,144.64,none,42.034081687855,1711295.3881087617
2022-10-06 00:00:00-04:00,144.05,145.76,143.47,143.68,none,42.83351708930541,1699949.487629162
2022-10-07 00:00:00-04:00,140.82,141.38,137.77,138.4,none,31.2004230565838,1637547.034991362
2022-10-10 00:00:00-04:00,138.73,140.18,136.9,138.73,none,27.237136465324355,1641447.188281224
2022-10-11 00:00:00-04:00,138.21,139.65,136.56,137.31,none,28.613396004700334,1624664.7104884826
2022-10-12 00:00:00-04:00,137.45,138.67,136.5,136.67,none,28.893503411450567,1617100.7768354157
2022-10-13 00:00:00-04:00,133.36,141.86,132.75,141.27,none,39.80016652789343,1671466.5499668329
2022-10-14 00:00:00-04:00,142.57,142.78,136.53,136.71,none,34.79880774962744,1617573.5226887327
2022-10-17 00:00:00-04:00,139.37,141.18,138.58,140.69,none,39.32038834951455,1664611.735093741
2022-10-18 00:00:00-04:00,143.74,144.93,138.92,142.02,none,42.950819672131175,1680330.5347165202
2022-10-19 00:00:00-04:00,139.98,143.2,139.8,142.13,none,51.92794821277795,1681630.585813141
2022-10-20 00:00:00-04:00,141.3,144.13,140.93,141.66,none,58.05538074260542,1676075.82203667
2022-10-21 00:00:00-04:00,141.15,146.07,140.93,145.5,none,57.588291441298146,1721459.42395507
2022-10-24 00:00:00-04:00,145.42,148.42,144.24,147.65,none,55.5221888555222,1746869.5135708412
2022-10-25 00:00:00-04:00,148.28,150.65,147.56,150.51,none,59.022440823854915,1780670.8420829827
2022-10-26 00:00:00-04:00,149.14,150.16,146.26,147.55,none,55.60382276281496,1745687.6489375494
2022-10-27 00:00:00-04:00,146.29,147.25,142.39,143.06,none,56.90574985180794,1692621.9269027535
2022-10-28 00:00:00-04:00,146.41,155.6,146.04,153.86,none,67.11151323230041,1820263.3072982538
2022-10-31 00:00:00-04:00,151.32,152.38,150.09,151.49,none,65.69973427812224,1792253.1154892412
2022-11-01 00:00:00-04:00,153.21,153.58,147.33,148.84,none,62.90014839940642,1760933.702707012
2022-11-02 00:00:00-04:00,147.16,150.34,143.25,143.28,none,52.088094743403275,1695222.0290959952
2022-11-03 00:00:00-04:00,140.35,141.08,137.08,137.21,none,50.50362610797744,1623482.8458551911
2022-11-04 00:00:00-04:00,140.61,141.19,132.98,136.94,none,45.917700849118226,1620291.8113453034
2022-11-07 00:00:00-05:00,135.68,137.7,134.26,137.47,none,44.95900731220915,1626555.6939017493
2022-11-08 00:00:00-05:00,138.95,139.96,136.06,138.05,none,45.5263157894737,1633410.508774841
2022-11-09 00:00:00-05:00,137.06,137.11,133.19,133.47,none,41.76222088111045,1579281.1085700826
2022-11-10 00:00:00-05:00,139.77,145.34,138.05,145.34,none,49.861447869761,1719568.4405418036
2022-11-11 00:00:00-05:00,144.3,148.45,142.87,148.14,none,50.41959239595819,1752660.65027397
2022-11-14 00:00:00-05:00,147.42,148.72,145.9,146.74,none,46.68891621289305,1736114.5454078868
2022-11-15 00:00:00-05:00,150.64,151.99,147.01,148.48,none,50.83467959073773,1756678.9900271618
2022-11-16 00:00:00-05:00,147.58,148.31,145.76,147.24,none,53.98398780022875,1742023.8685743453
